date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:44	128/128	---M--	200	added ('OK')	text/plain	date:Mon,%2011%20Oct%202021%2008:28:53%20GMT	https://junqianliang.me/robots.txt		(from )
15:11:44	20756/20756	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Oct%202021%2019:11:45%20GMT	https://junqianliang.me/	C:/My%20Web%20Sites/joyce_uxfolio/junqianliang.me/index.html	(from )
15:11:45	2285/2285	---M--	200	added ('OK')	application/octet-stream	etag:%222eb0596b88e5d3da0cf91dccca6aba5a%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/logo_h52.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/logo_h52.png	(from https://junqianliang.me/)
15:11:46	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2012%20Oct%202021%2019:11:47%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/joyce_uxfolio/www.googletagmanager.com/gtm.15445.delayed	(from https://junqianliang.me/)
15:11:47	175975/175975	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Oct%202021%2008:28:53%20GMT	https://junqianliang.me/dist/case-study-view-a993016697c500e380c56c2749bcd5e6.css	C:/My%20Web%20Sites/joyce_uxfolio/junqianliang.me/dist/case-study-view-a993016697c500e380c56c2749bcd5e6.css	(from https://junqianliang.me/)
15:11:47	686365/686365	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Oct%202021%2008:28:53%20GMT	https://junqianliang.me/dist/styles-8646560b0bc53fc01b1d396774a3bec7.css	C:/My%20Web%20Sites/joyce_uxfolio/junqianliang.me/dist/styles-8646560b0bc53fc01b1d396774a3bec7.css	(from https://junqianliang.me/)
15:11:47	52718/52718	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Oct%202021%2019:11:49%20GMT	https://junqianliang.me/p/runningsun.liang/04dbfa53	C:/My%20Web%20Sites/joyce_uxfolio/junqianliang.me/p/runningsun.liang/04dbfa53.html	(from https://junqianliang.me/)
15:11:47	290190/290190	---M--	200	added ('OK')	application/octet-stream	etag:%22b2116fac3b05dae4aa51ca3b49bf75f8%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/klxC7HCaUsnimt7f.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/klxC7HCaUsnimt7f.png	(from https://junqianliang.me/)
15:11:48	49062/49062	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Oct%202021%2019:11:49%20GMT	https://junqianliang.me/p/runningsun.liang/042ab8c9	C:/My%20Web%20Sites/joyce_uxfolio/junqianliang.me/p/runningsun.liang/042ab8c9.html	(from https://junqianliang.me/)
15:11:48	947078/947078	---M--	200	added ('OK')	application/octet-stream	etag:%22d060ab6bfb6eb5bb95d45cf80e9aa043%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/t0rPgEtCq26kFLmj.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/t0rPgEtCq26kFLmj.png	(from https://junqianliang.me/)
15:11:49	36530/36530	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Oct%202021%2019:11:50%20GMT	https://junqianliang.me/p/runningsun.liang/048a0f94	C:/My%20Web%20Sites/joyce_uxfolio/junqianliang.me/p/runningsun.liang/048a0f94.html	(from https://junqianliang.me/)
15:11:50	604775/604775	---M--	200	added ('OK')	application/octet-stream	etag:%22e57eec06cde51f3df0aea615fd06ba2a%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fb2a24190610500048a0f94/lt2Ny46enzxd8Bta.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fb2a24190610500048a0f94/lt2Ny46enzxd8Bta.png	(from https://junqianliang.me/)
15:11:50	37154/37154	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Oct%202021%2019:11:50%20GMT	https://junqianliang.me/p/runningsun.liang/04dbfa52	C:/My%20Web%20Sites/joyce_uxfolio/junqianliang.me/p/runningsun.liang/04dbfa52.html	(from https://junqianliang.me/)
15:11:51	1275413/1275413	---M--	200	added ('OK')	application/octet-stream	etag:%22e2369d64ad6677ef61ee4d75ae8f2aea%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d52216ce00004dbfa52/dncYNG70A5pLAsBv.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d52216ce00004dbfa52/dncYNG70A5pLAsBv.png	(from https://junqianliang.me/)
